"","File","Cluster_ID","AvgDbh","AvgCrownDiameter","AvgCrownHeight","AvgCrownArea","SpeciesCount","AvgTreeHeight","TreeCount","J","X","Y"
"13256",3,42785,17.3789473684211,5.30588235294118,3.88235294117647,26.962782,2,5.23157894736842,19,0.485460760745913,-104.756236111111,23.1637778888889
"13257",3,58429,17.6715447154472,3.22130434782609,4.81478260869565,10.272622226087,27,9.8768,125,0.787771541165409,-88.5363516666667,19.2757404074074
"13258",3,71899,16.3513888888889,3.95694444444444,6.06666666666667,14.3606026666667,10,11.5666666666667,72,0.811546487989172,-94.1982681851852,17.2726568148148
"13259",3,71159,16.1948051948052,2.53831168831169,3.87012987012987,6.680592,4,6.17272727272727,77,0.654051614182665,-98.8495554074074,17.5794163333333
"13260",3,51656,12.9492741935484,2.08348214285714,1.09642857142857,4.433500875,17,6.2608,125,0.784960336839763,-89.081129037037,20.5976941111111
"13261",3,56304,33.9,9.45,2.5,70.13622,1,4.1,1,NA,-99.7010462222222,20.2209345925926
"13262",3,58140,11.5072289156627,2.80210843373494,5.95602409638554,6.37366293975904,18,9.54736842105263,171,0.836172902822602,-90.2914535555555,19.4677125555555
"13263",3,61818,19.475,9.575,5.95,73.183572,2,7.3,4,1,-101.147888629629,19.2391202962963
"13264",3,45723,27.4153846153846,4.62,4.854,17.00972196,4,10.6519230769231,52,0.204827720977804,-99.4192586666667,22.3946017407407
"13265",3,62718,13.916484375,3.91468619246862,4.53682008368201,13.2742129958159,40,9.06937984496124,258,0.831430114730313,-89.888111,18.6180087407407
"13266",3,37084,14.8583333333333,0.575,1,0.559495,1,3.24166666666667,12,NA,-111.166018555555,24.1901387777778
"13267",3,5630,8.9895652173913,2.432,2.0972,4.7312496,2,3.27692307692308,26,0.235193381819241,-105.442388518519,30.6653148518519
"13268",3,74150,15.5319796954315,3.69921052631579,5.44631578947368,12.3687685578947,7,9.1785,200,0.785843625028569,-97.0871663333333,16.9006943703704
"13269",3,24246,12.5257142857143,3.05,2.29230769230769,7.8430044,3,3.55142857142857,35,0.861574828737413,-105.643490666667,26.8659352222222
"13270",3,62720,11.3215827338129,3.24685314685315,2.54202797202797,8.88155584615385,11,6.85601398601399,143,0.800048087725179,-89.793361,18.6102313333333
"13271",3,61033,17.439381443299,7.17688172043011,7.2,44.9888943225806,6,12.5235294117647,103,0.786560213781213,-102.388833259259,19.3773790370371
"13272",3,56670,13.2884057971014,2.73912213740458,5.22328244274809,7.09288145038168,49,11.2756630824373,279,0.902012612909659,-88.1244718518519,19.5568887777778
"13273",3,1269,NA,NA,NA,NA,0,NA,0,NA,-116.237268222222,31.5361756666667
"13274",3,64775,14.3230303030303,3.15361445783133,4.06987951807229,8.35485809638554,1,7.36565656565657,99,NA,-91.9013241851852,18.4043611851852
"13275",3,35109,16.6913793103448,3.52545454545455,5.13148148148148,11.4100056,6,7.25172413793103,59,0.901585376280102,-106.083499925926,24.8143147037037
"13276",3,28325,16.8266666666667,3.29,2.49333333333333,8.80957,1,4.11333333333333,15,NA,-105.871267962963,26.0445554074074
"13277",3,53078,10.6145161290323,3.26733333333333,4.88053333333333,8.87166896,11,8.72657894736842,76,0.818442990651602,-88.2938793703704,20.2554815185185
"13278",3,75138,17.8,4.95290697674419,6.33139534883721,21.8746685581395,15,10.8720430107527,93,0.907838806242063,-97.7928702962963,16.6952404444445
"13279",3,55733,18.7317073170732,5.2758064516129,6.68064516129032,23.114322,4,7.69761904761905,42,0.641633636762594,-103.928869925926,20.3170457777778
