"","File","Cluster_ID","AvgDbh","AvgCrownDiameter","AvgCrownHeight","AvgCrownArea","SpeciesCount","AvgTreeHeight","TreeCount","J","X","Y"
"9891",1,54953,11.7507109004739,2.95966183574879,4.42512077294686,7.88940940148166,36,9.97962085308057,211,0.760824922149316,-88.2827680740741,19.8901943703704
"9892",1,15052,10.752380952381,0.812755102040816,2.27418367346939,0.688326965360514,7,3.1152380952381,105,0.432547403301395,-107.532388370371,28.4872866666667
"9893",1,72340,13.1833333333333,2.38823529411765,2.43529411764706,6.49017582111741,9,4.35555555555556,18,0.903436639285717,-93.4545462962963,17.1419442222222
"9894",1,43498,13.634126984127,2.67706422018349,4.90605504587156,7.81699974662326,6,6.06349206349206,126,0.770309154425817,-103.919119962963,22.9945552962963
"9895",1,62014,13.6690647482014,3.76829268292683,3.31056910569106,18.1814991296881,25,6.43021582733813,139,0.827653881857699,-103.865148259259,19.1846294074074
"9896",1,44657,16.5182692307692,2.53139534883721,4.61023255813954,5.81497371318028,8,7.64711538461538,104,0.741764397445463,-104.256527925926,22.6721015185185
"9897",1,61110,27.1065217391304,3.62432432432432,7.22432432432432,12.7415229117359,2,9.16086956521739,46,0.66657835799492,-98.7134073703704,19.3416110370371
"9898",1,47174,14.1675257731959,2.33101265822785,2.61705882352941,5.60840216671718,32,7.8201030927835,194,0.774673545927153,-87.0169161851852,21.3201848888889
"9899",1,14591,19.86875,2.428125,4.1775,5.31573938249928,3,4.96875,16,0.932020158704291,-106.615444518519,28.6064815185185
"9900",1,38432,19.1705882352941,2.92666666666667,4.95,8.2168547857687,6,8.75,34,0.628710912607261,-105.271256962963,24.1523611481481
"9901",1,59356,18.6277777777778,5.4890625,4.2515625,30.2056249870073,6,5.14027777777778,72,0.799220058917492,-98.1320644444445,19.6449163333333
"9902",1,54946,14.8868292682927,3.62072164948454,5.29541237113402,12.12945199591,44,11.2931707317073,205,0.863620842790168,-88.6167126666667,19.9202033703704
"9903",1,76638,14.8,14,6.6,153.9384,1,7.1,1,NA,-93.8414628518519,16.1696663703704
"9904",1,34856,19.4272727272727,2.325625,2.760625,4.80859193771539,3,5.51212121212121,33,0.329962649679761,-106.877351518519,24.8347868888889
"9905",1,40231,20.4171428571429,4.15588235294118,4.48029411764706,14.6969129259796,2,5.98571428571429,35,0.315997132978425,-109.987518333333,23.5726753333333
"9906",1,26432,13.6973684210526,4.79824561403509,6.06315789473684,35.9806096774194,15,6.83684210526316,114,0.785532940308116,-108.295694222222,26.3300642222222
